Lv Experience HP+ HP = MP+ MP= TERRA |CYAN        |SABIN     |CELES
 1          0   0    0   0   0 Cure  |Dispatch    |Pummel    |Ice
 2         32  11   11   5   5       |            |          |
 3         96  12   23   6  11 Fire  |            |          |
 4        208  14   37   7  18       |            |          |Cure
 5        400  17   54   8  26       |            |          |
 6        672  20   74   9  35 Antdot|Retort      |AuraBolt  |
 7       1056  22   96  10  45       |            |          |
 8       1552  24  120  11  56       |            |          |Antdot
 9       2184  26  146  12  68       |            |          |
10       2976  27  173  13  81       |            |Suplex    |
11       3936  28  201  14  95       |            |          |
12       5080  30  231  15 110 Drain |Slash       |          |
13       6432  35  266  16 126       |            |          |Imp
14       7992  39  305  17 143       |            |          |
15       9784  44  349  17 160       |Quadra Slam |Fire Dance|
16      11840  50  399  17 177       |            |          |
17      14152  54  453  17 194       |            |          |
18      16736  57  510  16 210 Life  |            |          |Scan
19      19616  61  571  16 226       |            |          |
20      22832  65  636  16 242       |            |          |
21      26360  67  703  15 257       |            |          |
22      30232  69  772  15 272 Fire 2|            |          |Safe
23      34456  72  844  15 287       |            |Mantra    |
24      39056  76  920  14 301       |Empowerer   |          |
25      44072  79  999  14 315       |            |          |
26      49464  82 1081  14 329 Warp  |            |          |Ice 2
27      55288  86 1167  14 343       |            |          |
28      61568  90 1257  13 356       |            |          |
29      68304  95 1352  13 369       |            |          |
30      75496  99 1451  13 382       |            |Air Blade |
31      83184 100 1551  13 395       |            |          |
32      91384 101 1652  12 407       |            |          |Haste, Muddle
33     100088 102 1754  12 419 Cure 2|            |          |
34     109344 102 1856  12 431       |Stunner     |          |
35     119136 103 1959  12 443       |            |          |
36     129504 104 2063  11 454       |            |          |
37     140464 106 2169  11 465 Dispel|            |          |
38     152008 107 2276  11 476       |            |          |
39     164184 108 2384  11 487       |            |          |
40     176976 110 2494  11 498       |            |          |Bserk
41     190416 111 2605  11 509       |            |          |
42     204520 113 2718  10 519       |            |Spiroler  |Ice 3
43     219320 114 2832  10 529 Fire 3|            |          |
44     234808 116 2948  10 539       |Quadra Slice|          |
45     251000 117 3065  10 549       |            |          |
46     267936 119 3184  10 559       |            |          |
47     285600 120 3304  10 569       |            |          |
48     304040 122 3426  10 579       |            |          |Vanish
49     323248 125 3551  10 589 Life 2|            |          |
50     343248 128 3679   9 598       |            |          |
51     364064 130 3809   9 607       |            |          |
52     385696 131 3940   9 616       |            |          |Haste2
53     408160 133 4073   9 625       |            |          |
54     431488 134 4207   9 634       |            |          |
55     455680 136 4343   9 643       |            |          |
56     480776 137 4480   9 652       |            |          |
57     506760 139 4619   9 661 Pearl |            |          |
58     533680 142 4761   9 670       |            |          |
59     561528 144 4905   9 679       |            |          |
60     590320 145 5050  10 689       |            |          |
61     620096 147 5197   8 697       |            |          |
62     650840 148 5345   8 705       |            |          |
63     682600 150 5495   8 713       |            |          |
64     715368 152 5647   8 721       |            |          |
65     749160 153 5800   8 729       |            |          |
66     784016 155 5955   8 737       |            |          |
67     819920 156 6111   8 745       |            |          |
68     856920 158 6269   8 753 Break |            |          |
69     895016 160 6429   8 761       |            |          |
70     934208 162 6591   8 769       |Cleave      |BumRush   |
71     974536 160 6751  10 779       |            |          |
72    1016000 155 6906  10 789       |            |          |Pearl
73    1058640 151 7057   7 796       |            |          |
74    1102456 145 7202   6 802       |            |          |
75    1147456 140 7342   5 807 Quartr|            |          |
76    1193648 136 7478   4 811       |            |          |
77    1241080 132 7610   5 816       |            |          |
78    1289744 126 7736   6 822       |            |          |
79    1339672 120 7856   7 829       |            |          |
80    1390872 117 7973   8 837       |            |          |
81    1443368 113 8086   9 846       |            |          |Flare
82    1497160 110 8196   8 854       |            |          |
83    1552264 108 8304   7 861       |            |          |
84    1608712 105 8409   6 867       |            |          |
85    1666512 102 8511   5 872       |            |          |
86    1725688 100 8611   6 878 Merton|            |          |
87    1786240  98 8709   7 885       |            |          |
88    1848184  95 8804   5 890       |            |          |
89    1911552  92 8896   6 896       |            |          |
90    1976352  90 8986   7 903       |            |          |
91    2042608  88 9074   8 911       |            |          |
92    2110320  87 9161   9 920       |            |          |
93    2179504  85 9246  10 930       |            |          |
94    2250192  83 9329   8 938       |            |          |
95    2322392  82 9411   8 946       |            |          |
96    2396128  80 9491   9 955       |            |          |
97    2471400  83 9574  10 965       |            |          |
98    2548224  86 9660  11 976       |            |          |Meteor
99    2637112  88 9748  13 989 Ultima|            |          |
